,Jarosite,Goethite,Hematite,Kaolinite,Alunite,Illite,Smectite,Gypsum
569.27,0.6159636412931352,0.09891955860520188,0.06149710504483479,0.816091932684702,0.8077575830138626,0.7913282879349973,0.5836764076322529,0.8463504517060453
579.45,0.6326794539983588,0.10940333718444627,0.06413763599322067,0.8231569651872079,0.8115984805056191,0.7986358185232308,0.5868055399335728,0.8501305156926109
589.62,0.6445459116079036,0.11579725223154679,0.06877110820318524,0.8299848647356131,0.8146023688992879,0.8047258144839387,0.5890629589929386,0.8523786393676788
599.8,0.6540604425207094,0.11883088240287558,0.07432024053481799,0.8358031585220754,0.8159841073124856,0.8087824004381274,0.5900067728931291,0.8551748839838039
609.97,0.6632246016503708,0.11984887687972404,0.0793374441995568,0.8408351414120988,0.8172610655596221,0.8136463217381319,0.5901620212236532,0.8572088440048352
620.15,0.6735591343715241,0.1200249719324171,0.0826254306210758,0.8458422611383842,0.8188579849204523,0.8188656481781704,0.5899729236239946,0.8601475038246893
630.32,0.6836569344825737,0.11988955716284463,0.08517672323628958,0.8502684321544864,0.8194071098510464,0.8242131473452998,0.5906874266778536,0.8630881401378486
640.5,0.6934312687240177,0.11996285296411281,0.08742081610667973,0.8545156515581382,0.8211629806689487,0.8287730205716239,0.592176728135146,0.8649303600926959
650.67,0.7034765327477932,0.120572909837576,0.08992585333535885,0.8582309246038318,0.8237181191819244,0.8332820062250054,0.5957188200702589,0.8664861415500008
660.85,0.7147436116852497,0.12194462757121054,0.09262104097451429,0.8622454409457884,0.8262497962337901,0.8370447315577325,0.599317632434696,0.8677942886560047
671.02,0.7272406024696243,0.12425326757608517,0.09636776940005463,0.8664871596593943,0.8281956285343746,0.8397726009173758,0.6036552029867589,0.869171056887503
681.2,0.7394922147437666,0.12748771371233644,0.10106013563471902,0.870078476722914,0.8315179077226104,0.8435868328071141,0.6094946100429078,0.8704790724504462
691.37,0.7486137700999284,0.13175739280747772,0.10641813863021102,0.8734688132145522,0.8338374012210757,0.8473126847779179,0.6140414549682122,0.8716902024722932
701.55,0.752884082278012,0.13696903871853833,0.11301318168263695,0.8767284435581959,0.8352324579736807,0.8492707513990034,0.6168057803500703,0.8725403358374856
711.72,0.7523542879565802,0.14298278297658013,0.12038003738921488,0.8801984334452733,0.8367812213077022,0.8520197728336822,0.6204071343613331,0.8732900798596575
721.9,0.7471547166766747,0.14942083003134118,0.127682613161558,0.8824373921986003,0.8385429041245058,0.853887584609444,0.6238850077029438,0.8739016394093135
732.07,0.7373308427627808,0.1556480111330689,0.133559660191025,0.8858038406989114,0.8402889168260883,0.8556436622538135,0.6269505973722447,0.8745120327121868
742.25,0.724018111514335,0.16092778026626606,0.13666999116365736,0.8890213472745686,0.8416810628943722,0.8570361163532072,0.629721826620859,0.8749212009087424
752.43,0.707565263422044,0.16441042830280056,0.13706364328742526,0.8914894949758683,0.8426630909867711,0.8591919438400516,0.631968395240575,0.8752295521092811
762.6,0.6910331078135722,0.16572251033192767,0.13491956384492615,0.8932122885242364,0.8433751721903786,0.8612882586912468,0.633984102971271,0.8755054353513323
772.78,0.6746503669956366,0.16484593520829646,0.13102754517285808,0.8955870806845332,0.8438441864502624,0.8621955690855003,0.6350603048425615,0.8760551133420602
782.95,0.6575114473069755,0.1621939933190341,0.1263052825689309,0.8992635085989151,0.8441714127018103,0.8637717521741258,0.6370395539138511,0.876658952719382
793.13,0.6416700205237424,0.15822680508344283,0.12151424439717824,0.9005369131721642,0.8448438574540625,0.8651250012095845,0.638468742865606,0.8776686626267515
803.3,0.626604997826467,0.15359720589010767,0.11710221331778255,0.9034032591319114,0.8453694771501282,0.8664471312941133,0.6390427376843963,0.878367463263199
813.48,0.612427556487541,0.14874859107157984,0.11347049627008407,0.903243492754264,0.8457256241538227,0.867304902441803,0.639827196837131,0.8791438589494612
823.65,0.5999173375761521,0.14406133683462483,0.11087882963453835,0.9054019472840836,0.8458121186527835,0.8681014634053079,0.6392071030418315,0.8798562941679058
833.83,0.5893862763750303,0.13973770093534,0.10873062443190963,0.9063495560456618,0.8454356240267789,0.8689593123985895,0.6393803616413486,0.8802203728640237
844.0,0.5791995949535784,0.13592250292998784,0.107048349554585,0.9078039381185978,0.845454154497343,0.8673136986679908,0.6392038424177046,0.8803255887559496
854.18,0.5707869876762572,0.1326994222946423,0.10723703792668342,0.9075070164170004,0.8431916687413132,0.8631184040967563,0.6394321245329605,0.8802253733082688
864.35,0.5631304595904001,0.13006542023077033,0.10553959080848742,0.90905007020052,0.8427628516740754,0.8648882052869225,0.6390381601593211,0.880666524251016
874.53,0.5551582802233261,0.1280031123908429,0.10465811784973025,0.9147626198267932,0.842881758939385,0.8639196238615525,0.6374988159574281,0.8812905757394086
884.7,0.5513179626137268,0.12651445674061734,0.10840858581753593,0.9094126483358884,0.8421204356397594,0.8644007142238863,0.6376190285816209,0.8818611459507945
894.88,0.549602448399103,0.12553965235723824,0.11085572855422562,0.910234766271905,0.842694791847232,0.862987885057311,0.6364869896315933,0.8825832789508972
905.05,0.5484422981706547,0.1250190470110868,0.11233516647025062,0.9105412204834809,0.8421645813839179,0.8619531310826847,0.6361033846402272,0.8829401875136043
915.23,0.5479770859299573,0.1248960738752221,0.11508264524464597,0.9096386842883313,0.8406261714113873,0.8607854513714287,0.6332567611602749,0.8835336103451618
922.54,0.5477645715621413,0.12509841582924508,0.11848934783085284,0.9088183107251129,0.8401777231355252,0.8592906309691298,0.6348837726545278,0.8840737755750467
932.64,0.5496438063801821,0.1255836249116764,0.12540473056874984,0.9074509473875773,0.8412262225713935,0.858829231271113,0.6357106205775258,0.884714369363677
942.73,0.5511053620408909,0.12634794266253033,0.13154926323189386,0.901238449871389,0.841116091698803,0.8531377269061227,0.6349351673140492,0.884946288926463
952.82,0.5548698260493805,0.12743807279624464,0.13904040179484814,0.8965447926201906,0.8397548385095461,0.8419821567499403,0.6347685682841374,0.8843758693183584
962.91,0.5601453870883092,0.12880762081426628,0.15013626811738515,0.8916017921431246,0.8407117759460739,0.8387115873029419,0.6350380864812262,0.8829458447035837
972.99,0.5658692719596883,0.1303736151278438,0.16145393473765937,0.8990808078294565,0.8410805133495878,0.8463525163169512,0.6372527287023007,0.8808706271151076
983.08,0.5732416953560581,0.13223012901241946,0.1732091057468132,0.9091235378966446,0.8406812120456857,0.8538997951063718,0.639200914545241,0.8784179944438766
993.17,0.5811803316803452,0.13449018792299777,0.18616375398377835,0.9121792689391752,0.8405151472919199,0.857584474221865,0.6404309881472665,0.8767792467164965
1003.3,0.588784910060145,0.13739621426538512,0.1989285055844487,0.9121489936193172,0.8396126547229593,0.8581689746962282,0.6412300923934194,0.8784202911396112
1013.3,0.5956782671372973,0.14053751826378375,0.21160214299675667,0.9117913360237838,0.8397924730637838,0.8585374607783783,0.6421658085189189,0.8835078552086486
1023.4,0.6031572902759542,0.14391868630999644,0.22430688478517233,0.9135189168202367,0.8422490883285506,0.8581968670073509,0.6436646866390188,0.8881628284543417
